reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,Sentimen
9854c854-9a2e-4b0d-bbb4-a46acf54dd8c,BRT anjay,https://play-lh.googleusercontent.com/a/ACg8ocKUXbke5mD3fpPOA42XiEuCw6qJxsjzHbGsMbPsArK-Evs69w=mo,"assalamualaikum pihak admin transjatim mohon ditambah halte menuju ke sunan Ampel dan kasiann para masyarakat ingin nyekar kesunan Ampel yang begitu jauh dari halte ke sunan Ampel dan jarak nya cukup jauh mohon ditambah kan halte nya sayang saya kasih bintang 2, semoga kedepannya lebih baik nya , dan mohon secepatnya menambahkan halte terimakasih",2,13,1.2.1,2024-12-06 11:18:53,,,1.2.1,NETRAL
0c5dc82b-bc54-46dd-b9ad-2ebb4c826d73,azkar Krisnadianto,https://play-lh.googleusercontent.com/a-/ALV-UjWv4oi8pGG1v5m-zcxWBo_c-YN22KRYAjCeefLENTDexOaLVz4,"Teruntuk Pramugara / Pramugari yang tegas lah dalam menjaga peraturan, masak penataan penumpang awur awuran, harus nya kan wanita depan cowo belakang, lah ini rute Paciran ngga ee... cewe di belakang semua pramugara diem aja. Tata lah minimal taat in aturan",2,0,1.2.1,2024-12-01 9:08:27,,,1.2.1,NEGATIF
e1367350-1e79-4e2c-b81e-d86c8de1a71d,in'am ndremo,https://play-lh.googleusercontent.com/a-/ALV-UjUGtL-OBuvWUIdKjwmd6F4ukJ9Zl4sRfHxqB44erDRYnaoO1g0,Tidak bisa terhubung dengan astrapay. Padahal metode pembayaran cuman bisa pake astrapay,2,0,1.2.1,2024-11-30 18:28:26,,,1.2.1,NEGATIF
4075cb1c-4f05-41d2-a5e1-747ff00e6738,edy purnomo,https://play-lh.googleusercontent.com/a/ACg8ocLbxwomirOYhzbAUnUuOgeSz_SDDXEgZKrtA-FkOJ8YgxiXwg=mo,bagus banget.. bisa real time posisi bus dengan semua rute dan jumlah penumpang.. top markotop,5,0,1.2.1,2024-11-29 12:14:45,,,1.2.1,POSITIF
48da8f7e-8433-4b74-94cc-204fa0ad7c74,prasetyo 8787,https://play-lh.googleusercontent.com/a-/ALV-UjUT6TKGc1d8rJdMqxCBQ9ESCbDXmuozrF9bl0f74Pyl2XJ_CNtE,aplikasi ini sangat berguna dan bermanfaat bagi saya,5,0,1.2.1,2024-11-26 10:21:16,,,1.2.1,POSITIF
cc1d74b1-51a0-4083-a736-82739e656d17,"FAJAR WIJAKSONO, S.E.I",https://play-lh.googleusercontent.com/a-/ALV-UjVVtnW-mhdMsyXgoLpHoWQs9v3OzckuwefwIKkB-Q4RhAfhWVMK,Keren,5,0,1.2.1,2024-11-24 1:09:35,,,1.2.1,POSITIF
00769f5d-b370-4d40-989b-a47f030e5c31,Muchlisin Sin,https://play-lh.googleusercontent.com/a-/ALV-UjV0TYZdg_sIiLnxd_n4jtXmtJYi7XPABEct1mOhc8PFhp0mG7cglA,Alhamdulillah dengan adanya tran lebih mudah mau bepergian kemana saja,5,0,1.2.0,2024-11-16 18:34:09,,,1.2.0,POSITIF
44e44785-0b2a-4224-8261-4b390ca339c2,Jazirah Ahmad,https://play-lh.googleusercontent.com/a-/ALV-UjWshgr7VvbVdC84Myy20PMVmVw-KM-0z2mHU9RA5rtvow0CThJ4,"bus nya keren dan nyaman. tapi sayang nya kendaraan nya masih kurang banyak terutama untuk rute Gresik - Sidoarjo. banyak penumpang yang di tolak karena bus terlalu full, bahkan penumpang yang sudah di dalam bus pun harus berdempet dempet an. saya harap untuk bisa ditambah lagi bus nya, agar tidak menunggu terlalu lama.",4,0,1.1.5,2024-11-10 10:57:26,,,1.1.5,POSITIF
c5376c1e-fa0e-431b-b63a-802cedbf6657,Ochi Ledy,https://play-lh.googleusercontent.com/a/ACg8ocLnYdE2rpA3ighWF3tA_A8mEpSyf4sbnCAaf9J2hE4Kpx4HxA=mo,Dapat di pahami.. bagus apknya,5,0,1.2.0,2024-11-07 11:48:21,,,1.2.0,POSITIF
6043e664-d62a-40ad-a346-1b1d68f1170e,Syaiful Alif Kurniawan,https://play-lh.googleusercontent.com/a-/ALV-UjW89sjzV38vRVEg90S1zo4XJ_ipxLhmLaMyzyaZtoLCREw3ibOL,Mempermudah sekali dgn adanya apk ini,5,0,1.2.0,2024-11-05 5:52:24,,,1.2.0,POSITIF
eaffb199-4711-4170-a83b-4c19c49425e6,Iwan Yahya,https://play-lh.googleusercontent.com/a-/ALV-UjVd-EhjIz5N3bREKMlGk7jbR68XgJP6D3ARp3bDRMpI5oRAej3X,Tolong dong hubungkan dgn pembayaran yg lainnya... Selain astrapay.,5,0,,2024-10-31 12:49:43,,,,NETRAL
ac74d465-ed4a-4909-b4f6-c5b924b62333,Hendro Bonry,https://play-lh.googleusercontent.com/a-/ALV-UjV2-9pRUKDd0W_ZKwjIGb1EotLYuqbA0zlLLNFgeeEP8k08Xp5h,Semoga di tambah lagi ke arah bojonegoro,5,0,,2024-10-27 17:54:31,,,,NETRAL
0b41130f-5f9d-475e-819c-72499079d09c,Sucipto Uchiha,https://play-lh.googleusercontent.com/a/ACg8ocKx9iloQpZ4uXSd5rt8rbakM43ri8BfnRAV1ffpoywgKnXFkA=mo,Let's go,3,0,1.2.0,2024-10-26 0:00:28,,,1.2.0,POSITIF
7f0a32d9-e5dd-4333-a46c-989033d54e1c,Uswatul Hasanah,https://play-lh.googleusercontent.com/a/ACg8ocLFIgviMhF8LcuHErUOTYwTSIOQj8X3o5bzZQYXibLXPWKWBg=mo,Klo bisa Sampek ke malang krna disini banyak pendatang klo ada bis langsung terminal Arjosari kan enak sangat membantu perjalanan kami paling tidak bisa mudik 1 Minggu sekali.,5,0,,2024-10-24 11:28:07,,,,NETRAL
